main_sound,level,hanja,meaning
근,특급Ⅱ,懃,은근할
근,특급,漌,맑을
근,특급,墐,묻을
금,8급,金,쇠
금,6급Ⅱ,今,이제
금,4급Ⅱ,禁,금할
금,3급Ⅱ,禽,새
금,3급Ⅱ,錦,비단
금,3급Ⅱ,琴,거문고
금,1급,襟,옷깃
금,1급,擒,사로잡을
금,1급,衾,이불
금,특급Ⅱ,昑,밝을
금,특급Ⅱ,檎,능금
금,특급Ⅱ,芩,풀이름
금,특급Ⅱ,衿,옷깃
금,특급Ⅱ,妗,외숙모
급,6급Ⅱ,急,급할
급,6급,級,등급
급,5급,給,줄
급,3급Ⅱ,及,미칠
급,1급,扱,거둘
급,1급,汲,물길을
급,특급Ⅱ,伋,생각할
급,특급,岌,산높을
긍,3급,肯,즐길
긍,2급,兢,떨릴
긍,1급,矜,자랑할
긍,1급,亘,뻗칠
긍,특급,亙,뻗칠
기,7급Ⅱ,氣,기운
기,7급Ⅱ,記,기록할
기,7급,旗,기
기,5급Ⅱ,基,터
기,5급Ⅱ,己,몸
기,5급,汽,물끓는김
기,5급,期,기약할
기,5급,技,재주
기,4급Ⅱ,器,그릇
기,4급Ⅱ,起,일어날
기,4급,機,틀
기,4급,寄,부칠
기,4급,奇,기특할
기,4급,紀,벼리
기,3급Ⅱ,騎,말탈
기,3급Ⅱ,祈,빌
기,3급Ⅱ,畿,경기(京畿)
기,3급Ⅱ,其,그
기,3급Ⅱ,企,꾀할
기,3급,旣,이미
기,3급,忌,꺼릴
기,3급,棄,버릴
기,3급,欺,속일
기,3급,飢,주릴
기,3급,豈,어찌
기,3급,幾,몇
기,2급,棋,바둑
기,2급,冀,바랄
기,2급,岐,갈림길
기,2급,驥,천리마
기,2급,耆,늙을
기,2급,麒,기린
기,2급,沂,물이름
기,2급,淇,물이름
기,2급,琦,옥이름
기,2급,琪,아름다운옥
기,2급,璣,별이름
기,2급,箕,키
기,2급,騏,준마
기,1급,譏,비웃을
기,1급,肌,살膚肉
기,1급,綺,비단
기,1급,杞,구기자(枸杞子)
기,1급,朞,돌
기,1급,崎,험할
기,1급,妓,기생
기,1급,伎,재간
기,1급,羈,굴레
기,1급,嗜,즐길
기,1급,畸,뙈기밭
기,특급Ⅱ,磯,여울돌
기,특급Ⅱ,埼,갑
기,특급Ⅱ,圻,경기(京畿)
기,특급Ⅱ,碁,바둑
기,특급Ⅱ,夔,조심할
기,특급Ⅱ,璂,피변옥
기,특급Ⅱ,祁,클
기,특급Ⅱ,祇,지신
기,특급Ⅱ,祺,길할
기,특급Ⅱ,玘,패옥
기,특급Ⅱ,錡,세발가마
기,특급Ⅱ,錤,호미
